,item,user,rating,timestamp
0,B01H7ZJRNG,AEC2WVP8H25HF,5.0,1538438400
1,B01GW712JW,A2ZXRFUDBCF5KR,5.0,1538438400
2,B01HJ71K4Q,A2FRD6XBB8923L,4.0,1538352000
3,B01GEXSYXQ,A18RHTVSMBC6SP,5.0,1538352000
4,B01HB9Q7CW,A2UUXH691JARF3,5.0,1538352000
5,B01G7V1H0M,A3IOIH7OOONRVA,5.0,1538265600
6,B01HB9Q7CW,A1811AKYX3RPSN,4.0,1538265600
7,B01G9NVTSI,AHJDHJFLP7CPD,5.0,1538265600
8,B01GNF4CT0,A1CREUGX46PAHE,3.0,1538265600
9,B01G7V1H0M,A3GJ67ZESPQKFS,5.0,1538179200
10,B01GW712JW,A2N8D7H94M67PL,2.0,1538179200
11,B01G0R1NBQ,A4X6VILJGFN4Y,5.0,1538179200
12,B01GW712JW,ABKQZR874U0AA,4.0,1538179200
13,B01HA4P9VI,AARBR7M1GEHTE,5.0,1538179200
14,B01G7791U4,A1BZE5LY9ZLFHA,5.0,1538179200
15,B01G7V1H0M,A2SKVD9BZBY2GM,5.0,1538092800
16,B01F7NXBV4,A3688DG8N8S7F7,5.0,1538092800
17,B01EO8DA0A,A31CZW8SHN9PTX,5.0,1538092800
18,B01GW712JW,A38IP7UYMVY1VH,1.0,1538092800
19,B01GW712JW,A1EWMQBLY5WHQB,5.0,1538092800
20,B01FB6YR74,A2F483MD47JG2T,5.0,1538092800
21,B01EY5W4I2,ACE5JVDBUIMKB,5.0,1538092800
22,B01GYEJUNI,A2TRK4U7ZJEBZO,5.0,1538092800
23,B01F28AZKO,A1OFZDTZAW5480,4.0,1538092800
24,B01FV5QU5M,AJ3B1K2ZTYFKI,5.0,1538092800
25,B01ENU0V5Q,A2HMM2SAJBVSYC,5.0,1538092800
26,B01GSPU8OI,A2BA1MM8DGFHT8,5.0,1538092800
27,B01ENU0V5Q,AP4CWCHDHYAP3,5.0,1538092800
28,B01ENU0V5Q,A2U620DVKRR85T,5.0,1538092800
29,B01ENU0V5Q,A2ILQKH2NHVQEL,5.0,1538092800
30,B01ENU0V5Q,A35DK54JOI6R82,5.0,1538092800
31,B01G9IBSZC,A3SOH8I9MVYZXW,5.0,1538092800
32,B01ENU0V5Q,AZLAS7IH75NA5,5.0,1538092800
33,B01ENU0V5Q,A26B73OCIBSPZU,5.0,1538006400
34,B01E7UCSOY,A3JHQTFRO0D4WI,5.0,1538006400
35,B01EYSPXP0,A1B87FZJ52KO7V,4.0,1538006400
36,B01HB9Q7CW,A3QLH30O6L0ZTT,5.0,1538006400
37,B01ENU0V5Q,AGK58W7UVST8Z,5.0,1538006400
38,B01GLVJ0GQ,A1N71GPHGRUCN8,5.0,1538006400
39,B01ES21KZE,A2YLFE0C9M3S6Q,3.0,1538006400
40,B01ENU0V5Q,A2ZBTUHQ8VXBM0,5.0,1538006400
41,B01ENU0V5Q,A163SEZAXPRDY7,5.0,1538006400
42,B01ENU0V5Q,A2TVOCCF4MD76X,5.0,1538006400
43,B01GZ611JG,A2YTAMBA5OAC3J,5.0,1538006400
44,B01ENU0V5Q,AHTJ70OJM3091,4.0,1538006400
45,B01FKTHDI2,A1C07U5PW33QGL,5.0,1538006400
46,B01F9QAR0M,A7A72AOQML0EI,4.0,1538006400
47,B01FN30OBS,A3BCFSMMFD6FG5,5.0,1538006400
48,B01GW712JW,AB5HB6G7SBZQP,5.0,1538006400
49,B01H41PZW0,A24QF1OASFBH92,5.0,1538006400
50,B01HI9W5HQ,A1MCN1E5GNFNXJ,1.0,1538006400
51,B01HJ8KWDU,A2AYU3DW4HHCSJ,5.0,1538006400
52,B01G4A8ZYC,A6NQBTNADGR07,5.0,1538006400
53,B01EAUZJH4,A31W38QR35RC5U,5.0,1537920000
54,B01FGM4H4Q,AG984IC6IF62C,5.0,1537920000
55,B01GLVJ0GQ,A20JZM5K4E54LO,5.0,1537920000
56,B01EHH83BO,AVEBJXDK2K2L0,5.0,1537920000
57,B01EDEKOLS,A1TGOWJVXRFTMC,5.0,1537920000
58,B01E6IJEYY,A9DXOA2VV9GWP,1.0,1537920000
59,B01E7UCSOY,A2BTP222BS6ITZ,5.0,1537920000
60,B01GP457SO,A37SWKDOMT9WX1,5.0,1537920000
61,B01HB9Q7CW,A3NZRO52W86KF8,5.0,1537920000
62,B01HB9Q7CW,A3BYZXHJMXPFAG,5.0,1537920000
63,B01HB9Q7CW,A30XCKCS3P0IS2,5.0,1537920000
64,B01E41Y0ZG,A1MSUJ1N87J33K,5.0,1537920000
65,B01FGP74O8,A2ZIZKS05PE75Q,5.0,1537920000
66,B01DQ8DVHG,A5MK58GWEA5WL,5.0,1537920000
67,B01ENU0V5Q,A19ORRGSQ740IJ,3.0,1537920000
68,B01FGM4H4Q,A3CIWZML59DS7F,5.0,1537920000
69,B01GLVJ0GQ,A1H8N3Z1V9SO9E,5.0,1537920000
70,B01G7V1H0M,A2Q89E5QSVIK4S,5.0,1537920000
71,B01F9FTQOQ,A34404JGASQTJ2,4.0,1537920000
72,B01F2LPVHS,A2X2KMB6ADJX3M,3.0,1537920000
73,B01HJ4GFPS,AQ1J5PU9D94G8,1.0,1537920000
74,B01GELIFP0,A4JOGMXL1WLTC,5.0,1537920000
75,B01GXF52PI,A21Y6T8Y5TMLP2,5.0,1537920000
76,B01G7V1H0M,A2CH63P46NUK1W,5.0,1537920000
77,B01FG7J7IM,A31CW5JCZOIAWR,4.0,1537833600
78,B01GUUVTN0,A2YL7O9VFWKIOD,1.0,1537833600
79,B01EV0DGOG,A1EDL7R1MDWJMU,5.0,1537833600
80,B01ENU0V5Q,A1300Q0RPI2IW0,3.0,1537833600
81,B01HB9Q7CW,A1I7IJ99Y78TU,3.0,1537833600
82,B01GUOB1SY,A17DR98OXIYB8Y,5.0,1537833600
83,B01G53ZTHE,A30R9GC06N40OC,4.0,1537833600
84,B01FOHMEJ8,A16TDSFL58IHKE,5.0,1537833600
85,B01D6VPK54,A1J5TMENMUVQUG,5.0,1537833600
86,B01ENU0V5Q,A189QODO9PQH2O,5.0,1537833600
87,B01ENU0V5Q,A3JDVMLICP9VI6,5.0,1537833600
88,B01GAJUVGW,AFQUSH62CYKA,5.0,1537833600
89,B01HA4P9VI,A10Z8K7TFNQAE4,5.0,1537833600
90,B01H7UJB78,A1NGP05GV4TPIW,3.0,1537833600
