,item,user,rating,timestamp,date
51309499,B01H7ZJRNG,AEC2WVP8H25HF,5.0,1538438400,2018-10-02
51307742,B01GW712JW,A2ZXRFUDBCF5KR,5.0,1538438400,2018-10-02
51311574,B01HJ71K4Q,A2FRD6XBB8923L,4.0,1538352000,2018-10-01
51304950,B01GEXSYXQ,A18RHTVSMBC6SP,5.0,1538352000,2018-10-01
51309930,B01HB9Q7CW,A2UUXH691JARF3,5.0,1538352000,2018-10-01
51303950,B01G7V1H0M,A3IOIH7OOONRVA,5.0,1538265600,2018-09-30
51309931,B01HB9Q7CW,A1811AKYX3RPSN,4.0,1538265600,2018-09-30
51304222,B01G9NVTSI,AHJDHJFLP7CPD,5.0,1538265600,2018-09-30
51306332,B01GNF4CT0,A1CREUGX46PAHE,3.0,1538265600,2018-09-30
51303951,B01G7V1H0M,A3GJ67ZESPQKFS,5.0,1538179200,2018-09-29
51307744,B01GW712JW,A2N8D7H94M67PL,2.0,1538179200,2018-09-29
51302555,B01G0R1NBQ,A4X6VILJGFN4Y,5.0,1538179200,2018-09-29
51307743,B01GW712JW,ABKQZR874U0AA,4.0,1538179200,2018-09-29
51309778,B01HA4P9VI,AARBR7M1GEHTE,5.0,1538179200,2018-09-29
51303822,B01G7791U4,A1BZE5LY9ZLFHA,5.0,1538179200,2018-09-29
51303952,B01G7V1H0M,A2SKVD9BZBY2GM,5.0,1538092800,2018-09-28
51294616,B01F7NXBV4,A3688DG8N8S7F7,5.0,1538092800,2018-09-28
51291111,B01EO8DA0A,A31CZW8SHN9PTX,5.0,1538092800,2018-09-28
51307746,B01GW712JW,A38IP7UYMVY1VH,1.0,1538092800,2018-09-28
51307745,B01GW712JW,A1EWMQBLY5WHQB,5.0,1538092800,2018-09-28
51295695,B01FB6YR74,A2F483MD47JG2T,5.0,1538092800,2018-09-28
51292937,B01EY5W4I2,ACE5JVDBUIMKB,5.0,1538092800,2018-09-28
51308021,B01GYEJUNI,A2TRK4U7ZJEBZO,5.0,1538092800,2018-09-28
51293620,B01F28AZKO,A1OFZDTZAW5480,4.0,1538092800,2018-09-28
51301447,B01FV5QU5M,AJ3B1K2ZTYFKI,5.0,1538092800,2018-09-28
51290945,B01ENU0V5Q,A2HMM2SAJBVSYC,5.0,1538092800,2018-09-28
51307182,B01GSPU8OI,A2BA1MM8DGFHT8,5.0,1538092800,2018-09-28
51290944,B01ENU0V5Q,AP4CWCHDHYAP3,5.0,1538092800,2018-09-28
51290943,B01ENU0V5Q,A2U620DVKRR85T,5.0,1538092800,2018-09-28
51290946,B01ENU0V5Q,A2ILQKH2NHVQEL,5.0,1538092800,2018-09-28
51290942,B01ENU0V5Q,A35DK54JOI6R82,5.0,1538092800,2018-09-28
51304192,B01G9IBSZC,A3SOH8I9MVYZXW,5.0,1538092800,2018-09-28
51290941,B01ENU0V5Q,AZLAS7IH75NA5,5.0,1538092800,2018-09-28
51290947,B01ENU0V5Q,A26B73OCIBSPZU,5.0,1538006400,2018-09-27
51288529,B01E7UCSOY,A3JHQTFRO0D4WI,5.0,1538006400,2018-09-27
51293013,B01EYSPXP0,A1B87FZJ52KO7V,4.0,1538006400,2018-09-27
51309932,B01HB9Q7CW,A3QLH30O6L0ZTT,5.0,1538006400,2018-09-27
37962918,B01ENU0V5Q,AGK58W7UVST8Z,5.0,1538006400,2018-09-27
51306097,B01GLVJ0GQ,A1N71GPHGRUCN8,5.0,1538006400,2018-09-27
51291746,B01ES21KZE,A2YLFE0C9M3S6Q,3.0,1538006400,2018-09-27
51290950,B01ENU0V5Q,A2ZBTUHQ8VXBM0,5.0,1538006400,2018-09-27
51290949,B01ENU0V5Q,A163SEZAXPRDY7,5.0,1538006400,2018-09-27
51290948,B01ENU0V5Q,A2TVOCCF4MD76X,5.0,1538006400,2018-09-27
51308093,B01GZ611JG,A2YTAMBA5OAC3J,5.0,1538006400,2018-09-27
37962917,B01ENU0V5Q,AHTJ70OJM3091,4.0,1538006400,2018-09-27
51299330,B01FKTHDI2,A1C07U5PW33QGL,5.0,1538006400,2018-09-27
51295456,B01F9QAR0M,A7A72AOQML0EI,4.0,1538006400,2018-09-27
51300019,B01FN30OBS,A3BCFSMMFD6FG5,5.0,1538006400,2018-09-27
51307747,B01GW712JW,AB5HB6G7SBZQP,5.0,1538006400,2018-09-27
51308911,B01H41PZW0,A24QF1OASFBH92,5.0,1538006400,2018-09-27
51311342,B01HI9W5HQ,A1MCN1E5GNFNXJ,1.0,1538006400,2018-09-27
51311583,B01HJ8KWDU,A2AYU3DW4HHCSJ,5.0,1538006400,2018-09-27
51303241,B01G4A8ZYC,A6NQBTNADGR07,5.0,1538006400,2018-09-27
51288999,B01EAUZJH4,A31W38QR35RC5U,5.0,1537920000,2018-09-26
51297136,B01FGM4H4Q,AG984IC6IF62C,5.0,1537920000,2018-09-26
51306099,B01GLVJ0GQ,A20JZM5K4E54LO,5.0,1537920000,2018-09-26
51289782,B01EHH83BO,AVEBJXDK2K2L0,5.0,1537920000,2018-09-26
51289248,B01EDEKOLS,A1TGOWJVXRFTMC,5.0,1537920000,2018-09-26
51288312,B01E6IJEYY,A9DXOA2VV9GWP,1.0,1537920000,2018-09-26
51288530,B01E7UCSOY,A2BTP222BS6ITZ,5.0,1537920000,2018-09-26
51306575,B01GP457SO,A37SWKDOMT9WX1,5.0,1537920000,2018-09-26
51309935,B01HB9Q7CW,A3NZRO52W86KF8,5.0,1537920000,2018-09-26
51309934,B01HB9Q7CW,A3BYZXHJMXPFAG,5.0,1537920000,2018-09-26
51309933,B01HB9Q7CW,A30XCKCS3P0IS2,5.0,1537920000,2018-09-26
51287723,B01E41Y0ZG,A1MSUJ1N87J33K,5.0,1537920000,2018-09-26
51297397,B01FGP74O8,A2ZIZKS05PE75Q,5.0,1537920000,2018-09-26
51285401,B01DQ8DVHG,A5MK58GWEA5WL,5.0,1537920000,2018-09-26
37962919,B01ENU0V5Q,A19ORRGSQ740IJ,3.0,1537920000,2018-09-26
51297135,B01FGM4H4Q,A3CIWZML59DS7F,5.0,1537920000,2018-09-26
51306098,B01GLVJ0GQ,A1H8N3Z1V9SO9E,5.0,1537920000,2018-09-26
51303954,B01G7V1H0M,A2Q89E5QSVIK4S,5.0,1537920000,2018-09-26
51295265,B01F9FTQOQ,A34404JGASQTJ2,4.0,1537920000,2018-09-26
51293698,B01F2LPVHS,A2X2KMB6ADJX3M,3.0,1537920000,2018-09-26
51311538,B01HJ4GFPS,AQ1J5PU9D94G8,1.0,1537920000,2018-09-26
51304868,B01GELIFP0,A4JOGMXL1WLTC,5.0,1537920000,2018-09-26
51307933,B01GXF52PI,A21Y6T8Y5TMLP2,5.0,1537920000,2018-09-26
51303953,B01G7V1H0M,A2CH63P46NUK1W,5.0,1537920000,2018-09-26
51296798,B01FG7J7IM,A31CW5JCZOIAWR,4.0,1537833600,2018-09-25
51307570,B01GUUVTN0,A2YL7O9VFWKIOD,1.0,1537833600,2018-09-25
51292212,B01EV0DGOG,A1EDL7R1MDWJMU,5.0,1537833600,2018-09-25
37962922,B01ENU0V5Q,A1300Q0RPI2IW0,3.0,1537833600,2018-09-25
51309936,B01HB9Q7CW,A1I7IJ99Y78TU,3.0,1537833600,2018-09-25
51307525,B01GUOB1SY,A17DR98OXIYB8Y,5.0,1537833600,2018-09-25
51303470,B01G53ZTHE,A30R9GC06N40OC,4.0,1537833600,2018-09-25
51300227,B01FOHMEJ8,A16TDSFL58IHKE,5.0,1537833600,2018-09-25
51281315,B01D6VPK54,A1J5TMENMUVQUG,5.0,1537833600,2018-09-25
37962921,B01ENU0V5Q,A189QODO9PQH2O,5.0,1537833600,2018-09-25
37962920,B01ENU0V5Q,A3JDVMLICP9VI6,5.0,1537833600,2018-09-25
51304269,B01GAJUVGW,AFQUSH62CYKA,5.0,1537833600,2018-09-25
51309780,B01HA4P9VI,A10Z8K7TFNQAE4,5.0,1537833600,2018-09-25
51309449,B01H7UJB78,A1NGP05GV4TPIW,3.0,1537833600,2018-09-25
51296189,B01FEKBMQ6,A3SCZI9HRFBDI9,4.0,1537833600,2018-09-25
51303955,B01G7V1H0M,A1P5XENP595KUO,5.0,1537833600,2018-09-25
51301386,B01FUYZ7DA,AV47EXGMXL2CO,5.0,1537833600,2018-09-25
37962924,B01ENU0V5Q,AVI8IK922U0F0,2.0,1537833600,2018-09-25
51290880,B01ENNQ274,AVD50751RAANF,5.0,1537833600,2018-09-25
51291112,B01EO8DA0A,A1MYHT2OCYGAIP,4.0,1537833600,2018-09-25
51302266,B01FZ9X8WC,A1788D88H1R2Q8,5.0,1537833600,2018-09-25
37962925,B01ENU0V5Q,A29DX8TB7R55ML,5.0,1537833600,2018-09-25
51309755,B01HA4LFB6,A1UGMFIR1BQ616,5.0,1537833600,2018-09-25
51280338,B01D1VTNES,A3MM7NZT8BMYRL,4.0,1537833600,2018-09-25
51299950,B01FMVR374,A3LNS561HMHQX7,5.0,1537833600,2018-09-25
37962923,B01ENU0V5Q,A3EGWJV323ZNIH,5.0,1537833600,2018-09-25
51303242,B01G4A8ZYC,A2JDFQ6RLM2XMK,5.0,1537833600,2018-09-25
51309779,B01HA4P9VI,A2C78G976BYRWW,5.0,1537833600,2018-09-25
51280967,B01D4SHQBK,A1QER00KMRY3UH,2.0,1537833600,2018-09-25
51280311,B01D1T9NP4,AEMR482CXXF1S,3.0,1537833600,2018-09-25
37962927,B01ENU0V5Q,A32X23KJSWIHF9,5.0,1537747200,2018-09-24
37962926,B01ENU0V5Q,A1PQ47GHQ0EU4,4.0,1537747200,2018-09-24
51300228,B01FOHMEJ8,A31V4NQQXCCZXA,5.0,1537747200,2018-09-24
51285607,B01DS3WC56,A37ZB63GRU5J5Y,5.0,1537747200,2018-09-24
51273664,1503901904,A1K6GZLXK48IA8,5.0,1537747200,2018-09-24
51273663,1503901904,A279U3Y3J1WMVF,5.0,1537747200,2018-09-24
51273662,1503901904,A1RD6VGJ4VGYWK,5.0,1537747200,2018-09-24
51309756,B01HA4LFB6,A1HQ31574BHA2R,5.0,1537747200,2018-09-24
